user_id,user_name,year_month,bet_amount,effective_amount,win_loss,rebate_amount,bet_count
亦12570,亦12570,2025-04,340.0,340.0,0,0,2
伶94139,伶94139,2025-04,47870.0,47870.0,0,0,30
俞62280,俞62280,2025-04,33060.0,33060.0,0,0,20
倫28041,倫28041,2025-04,22790.0,22790.0,0,0,23
健19267,健19267,2025-04,11100.0,11100.0,0,0,30
傑23464,傑23464,2025-04,500.0,500.0,0,0,1
傑23883,傑23883,2025-04,11070.0,11070.0,0,0,20
凌44746,凌44746,2025-04,36470.0,36470.0,0,0,20
凱84338,凱84338,2025-04,37500.0,37500.0,0,0,22
凱96243,凱96243,2025-04,1500.0,1500.0,0,0,3
勳11486,勳11486,2025-04,31660.0,31660.0,0,0,25
勳31958,勳31958,2025-04,6000.0,6000.0,0,0,20
勳58638,勳58638,2025-04,4410.0,4410.0,0,0,20
叡47110,叡47110,2025-04,8160.0,8160.0,0,0,25
名86692,名86692,2025-04,153470.0,153470.0,0,0,25
君86170,君86170,2025-04,1020.0,1020.0,0,0,3
和36894,和36894,2025-04,11790.0,11790.0,0,0,29
喜15503,喜15503,2025-04,193670.0,193670.0,0,0,30
均12175,均12175,2025-04,1280.0,1280.0,0,0,11
威71924,威71924,2025-04,140270.0,140270.0,0,0,5
婕76351,婕76351,2025-04,3510.0,3510.0,0,0,27
存62511,存62511,2025-04,10520.0,10520.0,0,0,22
宇47054,宇47054,2025-04,38320.0,38320.0,0,0,29
安20936,安20936,2025-04,13840.0,13840.0,0,0,22
安53940,安53940,2025-04,638520.0,638520.0,0,0,30
宏27198,宏27198,2025-04,250.0,250.0,0,0,2
宏60063,宏60063,2025-04,6600.0,6600.0,0,0,19
宏98412,宏98412,2025-04,31000.0,31000.0,0,0,13
宣74217,宣74217,2025-04,96140.0,96140.0,0,0,13
家66121,家66121,2025-04,22240.0,22240.0,0,0,20
宸03518,宸03518,2025-04,36850.0,36850.0,0,0,29
宸36021,宸36021,2025-04,5570.0,5570.0,0,0,17
容29078,容29078,2025-04,1300.0,1300.0,0,0,8
富31837,富31837,2025-04,11220.0,11220.0,0,0,23
寧01591,寧01591,2025-04,35460.0,35460.0,0,0,11
寶70120,寶70120,2025-04,1000.0,1000.0,0,0,1
屹62125,屹62125,2025-04,700.0,700.0,0,0,5
峰88381,峰88381,2025-04,12920.0,12920.0,0,0,16
庭27805,庭27805,2025-04,97940.0,97940.0,0,0,27
廉54480,廉54480,2025-04,300.0,300.0,0,0,1
廷30202,廷30202,2025-04,2200.0,2200.0,0,0,6
廷62678,廷62678,2025-04,14000.0,14000.0,0,0,1
弘68935,弘68935,2025-04,6870.0,6870.0,0,0,12
彬75573,彬75573,2025-04,8190.0,8190.0,0,0,28
忠64375,忠64375,2025-04,2030.0,2030.0,0,0,7
惠88961,惠88961,2025-04,49440.0,49440.0,0,0,30
意75407,意75407,2025-04,840.0,840.0,0,0,3
愷52793,愷52793,2025-04,3380.0,3380.0,0,0,4
承10215,承10215,2025-04,57510.0,57510.0,0,0,30
文53688,文53688,2025-04,4500.0,4500.0,0,0,3
文81466,文81466,2025-04,4690.0,4690.0,0,0,6
晏33522,晏33522,2025-04,4000.0,4000.0,0,0,1
曦36235,曦36235,2025-04,17490.0,17490.0,0,0,19
榮17126,榮17126,2025-04,9050.0,9050.0,0,0,17
榮24362,榮24362,2025-04,8660.0,8660.0,0,0,22
樺50708,樺50708,2025-04,1200.0,1200.0,0,0,3
欣49525,欣49525,2025-04,14380.0,14380.0,0,0,5
欣73688,欣73688,2025-04,1530.0,1530.0,0,0,5
毅05859,毅05859,2025-04,47270.0,47270.0,0,0,30
沛56848,沛56848,2025-04,47740.0,47740.0,0,0,23
洋76635,洋76635,2025-04,82140.0,82140.0,0,0,20
涵54985,涵54985,2025-04,1370.0,1370.0,0,0,5
涵60652,涵60652,2025-04,5290.0,5290.0,0,0,12
源93055,源93055,2025-04,7450.0,7450.0,0,0,21
燁79955,燁79955,2025-04,2670.0,2670.0,0,0,16
玄80100,玄80100,2025-04,2280.0,2280.0,0,0,15
玉50886,玉50886,2025-04,2340.0,2340.0,0,0,12
玟95271,玟95271,2025-04,17360.0,17360.0,0,0,12
珀26821,珀26821,2025-04,14570.0,14570.0,0,0,30
珊34062,珊34062,2025-04,1100.0,1100.0,0,0,7
珠25750,珠25750,2025-04,23660.0,23660.0,0,0,9
瑩16876,瑩16876,2025-04,2650.0,2650.0,0,0,5
瑩60666,瑩60666,2025-04,13880.0,13880.0,0,0,25
璿99388,璿99388,2025-04,70430.0,70430.0,0,0,26
甯19553,甯19553,2025-04,6700.0,6700.0,0,0,14
盈95104,盈95104,2025-04,2370.0,2370.0,0,0,18
益08378,益08378,2025-04,27270.0,27270.0,0,0,30
祥08774,祥08774,2025-04,12280.0,12280.0,0,0,24
禧32526,禧32526,2025-04,350650.0,350650.0,0,0,16
秀33329,秀33329,2025-04,100.0,100.0,0,0,1
維13812,維13812,2025-04,10910.0,10910.0,0,0,10
維32776,維32776,2025-04,12160.0,12160.0,0,0,29
維57981,維57981,2025-04,9300.0,9300.0,0,0,29
緯39201,緯39201,2025-04,16010.0,16010.0,0,0,13
緯93650,緯93650,2025-04,4630.0,4630.0,0,0,15
羽85928,羽85928,2025-04,5300.0,5300.0,0,0,19
翊87829,翊87829,2025-04,16020.0,16020.0,0,0,27
翔48752,翔48752,2025-04,73890.0,73890.0,0,0,25
翔98531,翔98531,2025-04,19370.0,19370.0,0,0,14
聖11763,聖11763,2025-04,151330.0,151330.0,0,0,30
芬41176,芬41176,2025-04,4930.0,4930.0,0,0,11
芸82169,芸82169,2025-04,27250.0,27250.0,0,0,30
莉85335,莉85335,2025-04,2610.0,2610.0,0,0,13
菘50858,菘50858,2025-04,6100.0,6100.0,0,0,20
菱05459,菱05459,2025-04,26150.0,26150.0,0,0,26
蓁78959,蓁78959,2025-04,2290.0,2290.0,0,0,9
蓉00051,蓉00051,2025-04,7020.0,7020.0,0,0,17
蓉73052,蓉73052,2025-04,6280.0,6280.0,0,0,12
薇84646,薇84646,2025-04,10210.0,10210.0,0,0,16
親54562,親54562,2025-04,11870.0,11870.0,0,0,7
謙32533,謙32533,2025-04,3610.0,3610.0,0,0,15
豪59151,豪59151,2025-04,3100.0,3100.0,0,0,8
賢20426,賢20426,2025-04,9520.0,9520.0,0,0,15
軒05602,軒05602,2025-04,115490.0,115490.0,0,0,30
軒09236,軒09236,2025-04,5780.0,5780.0,0,0,16
軒64007,軒64007,2025-04,16310.0,16310.0,0,0,27
鎰31980,鎰31980,2025-04,5010.0,5010.0,0,0,8
霖13690,霖13690,2025-04,930.0,930.0,0,0,8
非34597,非34597,2025-04,125400.0,125400.0,0,0,11
順82168,順82168,2025-04,6430.0,6430.0,0,0,2
馨98939,馨98939,2025-04,20720.0,20720.0,0,0,30
駪01151,駪01151,2025-04,2000.0,2000.0,0,0,1
鴻56845,鴻56845,2025-04,78420.0,78420.0,0,0,6
予76099,予76099,2025-05,3190.0,3190.0,0,0,3
亦12570,亦12570,2025-05,300.0,300.0,0,0,2
伶94139,伶94139,2025-05,58350.0,58350.0,0,0,29
俞62280,俞62280,2025-05,17190.0,17190.0,0,0,21
倫28041,倫28041,2025-05,4290.0,4290.0,0,0,8
健19267,健19267,2025-05,2250.0,2250.0,0,0,17
傑23883,傑23883,2025-05,12240.0,12240.0,0,0,16
傑55303,傑55303,2025-05,900.0,900.0,0,0,5
凌44746,凌44746,2025-05,47890.0,47890.0,0,0,27
凱44136,凱44136,2025-05,7730.0,7730.0,0,0,8
凱84338,凱84338,2025-05,29400.0,29400.0,0,0,12
凱96243,凱96243,2025-05,2720.0,2720.0,0,0,10
勳11486,勳11486,2025-05,23580.0,23580.0,0,0,23
勳31958,勳31958,2025-05,14660.0,14660.0,0,0,26
