bet_id,user_id,user_name,date,year_month,bet_amount,effective_amount,win_loss,rebate_rate,rebate_amount
2025-04_宣74217_1_0,宣74217,宣74217,2025-04-01,2025-04,10640.0,10640.0,0,0,0
2025-04_名86692_1_1,名86692,名86692,2025-04-01,2025-04,9670.0,9670.0,0,0,0
2025-04_喜15503_1_2,喜15503,喜15503,2025-04-01,2025-04,5780.0,5780.0,0,0,0
2025-04_璿99388_1_3,璿99388,璿99388,2025-04-01,2025-04,4780.0,4780.0,0,0,0
2025-04_沛56848_1_4,沛56848,沛56848,2025-04-01,2025-04,4480.0,4480.0,0,0,0
2025-04_安53940_1_5,安53940,安53940,2025-04-01,2025-04,3690.0,3690.0,0,0,0
2025-04_毅05859_1_6,毅05859,毅05859,2025-04-01,2025-04,3300.0,3300.0,0,0,0
2025-04_聖11763_1_7,聖11763,聖11763,2025-04-01,2025-04,3240.0,3240.0,0,0,0
2025-04_欣49525_1_8,欣49525,欣49525,2025-04-01,2025-04,2960.0,2960.0,0,0,0
2025-04_親54562_1_9,親54562,親54562,2025-04-01,2025-04,2510.0,2510.0,0,0,0
2025-04_洋76635_1_10,洋76635,洋76635,2025-04-01,2025-04,2100.0,2100.0,0,0,0
2025-04_承10215_1_11,承10215,承10215,2025-04-01,2025-04,2060.0,2060.0,0,0,0
2025-04_馨98939_1_12,馨98939,馨98939,2025-04-01,2025-04,1910.0,1910.0,0,0,0
2025-04_安20936_1_13,安20936,安20936,2025-04-01,2025-04,1700.0,1700.0,0,0,0
2025-04_弘68935_1_14,弘68935,弘68935,2025-04-01,2025-04,1660.0,1660.0,0,0,0
2025-04_伶94139_1_15,伶94139,伶94139,2025-04-01,2025-04,1620.0,1620.0,0,0,0
2025-04_蓉73052_1_16,蓉73052,蓉73052,2025-04-01,2025-04,1110.0,1110.0,0,0,0
2025-04_榮17126_1_17,榮17126,榮17126,2025-04-01,2025-04,1090.0,1090.0,0,0,0
2025-04_廷30202_1_18,廷30202,廷30202,2025-04-01,2025-04,1000.0,1000.0,0,0,0
2025-04_家66121_1_19,家66121,家66121,2025-04-01,2025-04,1000.0,1000.0,0,0,0
2025-04_宇47054_1_20,宇47054,宇47054,2025-04-01,2025-04,900.0,900.0,0,0,0
2025-04_勳11486_1_21,勳11486,勳11486,2025-04-01,2025-04,890.0,890.0,0,0,0
2025-04_軒05602_1_22,軒05602,軒05602,2025-04-01,2025-04,750.0,750.0,0,0,0
2025-04_存62511_1_23,存62511,存62511,2025-04-01,2025-04,740.0,740.0,0,0,0
2025-04_謙32533_1_24,謙32533,謙32533,2025-04-01,2025-04,700.0,700.0,0,0,0
2025-04_芸82169_1_25,芸82169,芸82169,2025-04-01,2025-04,600.0,600.0,0,0,0
2025-04_意75407_1_26,意75407,意75407,2025-04-01,2025-04,580.0,580.0,0,0,0
2025-04_庭27805_1_27,庭27805,庭27805,2025-04-01,2025-04,520.0,520.0,0,0,0
2025-04_軒64007_1_28,軒64007,軒64007,2025-04-01,2025-04,500.0,500.0,0,0,0
2025-04_菱05459_1_29,菱05459,菱05459,2025-04-01,2025-04,490.0,490.0,0,0,0
2025-04_翔48752_1_30,翔48752,翔48752,2025-04-01,2025-04,470.0,470.0,0,0,0
2025-04_君86170_1_31,君86170,君86170,2025-04-01,2025-04,460.0,460.0,0,0,0
2025-04_維32776_1_32,維32776,維32776,2025-04-01,2025-04,420.0,420.0,0,0,0
2025-04_惠88961_1_33,惠88961,惠88961,2025-04-01,2025-04,350.0,350.0,0,0,0
2025-04_莉85335_1_34,莉85335,莉85335,2025-04-01,2025-04,330.0,330.0,0,0,0
2025-04_傑23883_1_35,傑23883,傑23883,2025-04-01,2025-04,320.0,320.0,0,0,0
2025-04_勳58638_1_36,勳58638,勳58638,2025-04-01,2025-04,320.0,320.0,0,0,0
2025-04_宸03518_1_37,宸03518,宸03518,2025-04-01,2025-04,310.0,310.0,0,0,0
2025-04_羽85928_1_38,羽85928,羽85928,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_凱84338_1_39,凱84338,凱84338,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_叡47110_1_40,叡47110,叡47110,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_富31837_1_41,富31837,富31837,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_緯39201_1_42,緯39201,緯39201,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_益08378_1_43,益08378,益08378,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_維57981_1_44,維57981,維57981,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_凌44746_1_45,凌44746,凌44746,2025-04-01,2025-04,300.0,300.0,0,0,0
2025-04_俞62280_1_46,俞62280,俞62280,2025-04-01,2025-04,280.0,280.0,0,0,0
2025-04_忠64375_1_47,忠64375,忠64375,2025-04-01,2025-04,270.0,270.0,0,0,0
2025-04_彬75573_1_48,彬75573,彬75573,2025-04-01,2025-04,250.0,250.0,0,0,0
2025-04_健19267_1_49,健19267,健19267,2025-04-01,2025-04,220.0,220.0,0,0,0
2025-04_盈95104_1_50,盈95104,盈95104,2025-04-01,2025-04,220.0,220.0,0,0,0
2025-04_珀26821_1_51,珀26821,珀26821,2025-04-01,2025-04,200.0,200.0,0,0,0
2025-04_宸36021_1_52,宸36021,宸36021,2025-04-01,2025-04,200.0,200.0,0,0,0
2025-04_欣73688_1_53,欣73688,欣73688,2025-04-01,2025-04,200.0,200.0,0,0,0
2025-04_源93055_1_54,源93055,源93055,2025-04-01,2025-04,200.0,200.0,0,0,0
2025-04_宏60063_1_55,宏60063,宏60063,2025-04-01,2025-04,200.0,200.0,0,0,0
2025-04_軒09236_1_56,軒09236,軒09236,2025-04-01,2025-04,190.0,190.0,0,0,0
2025-04_亦12570_1_57,亦12570,亦12570,2025-04-01,2025-04,140.0,140.0,0,0,0
2025-04_翊87829_1_58,翊87829,翊87829,2025-04-01,2025-04,120.0,120.0,0,0,0
2025-04_均12175_1_59,均12175,均12175,2025-04-01,2025-04,120.0,120.0,0,0,0
2025-04_芬41176_1_60,芬41176,芬41176,2025-04-01,2025-04,120.0,120.0,0,0,0
2025-04_婕76351_1_61,婕76351,婕76351,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_屹62125_1_62,屹62125,屹62125,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_容29078_1_63,容29078,容29078,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_燁79955_1_64,燁79955,燁79955,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_和36894_1_65,和36894,和36894,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_菘50858_1_66,菘50858,菘50858,2025-04-01,2025-04,100.0,100.0,0,0,0
2025-04_名86692_2_0,名86692,名86692,2025-04-02,2025-04,11580.0,11580.0,0,0,0
2025-04_洋76635_2_1,洋76635,洋76635,2025-04-02,2025-04,6640.0,6640.0,0,0,0
2025-04_欣49525_2_2,欣49525,欣49525,2025-04-02,2025-04,4990.0,4990.0,0,0,0
2025-04_沛56848_2_3,沛56848,沛56848,2025-04-02,2025-04,4430.0,4430.0,0,0,0
2025-04_喜15503_2_4,喜15503,喜15503,2025-04-02,2025-04,4310.0,4310.0,0,0,0
2025-04_晏33522_2_5,晏33522,晏33522,2025-04-02,2025-04,4000.0,4000.0,0,0,0
2025-04_軒05602_2_6,軒05602,軒05602,2025-04-02,2025-04,3400.0,3400.0,0,0,0
2025-04_翔48752_2_7,翔48752,翔48752,2025-04-02,2025-04,3290.0,3290.0,0,0,0
2025-04_毅05859_2_8,毅05859,毅05859,2025-04-02,2025-04,2470.0,2470.0,0,0,0
2025-04_安53940_2_9,安53940,安53940,2025-04-02,2025-04,2460.0,2460.0,0,0,0
2025-04_承10215_2_10,承10215,承10215,2025-04-02,2025-04,2200.0,2200.0,0,0,0
2025-04_庭27805_2_11,庭27805,庭27805,2025-04-02,2025-04,1720.0,1720.0,0,0,0
2025-04_宇47054_2_12,宇47054,宇47054,2025-04-02,2025-04,1640.0,1640.0,0,0,0
2025-04_璿99388_2_13,璿99388,璿99388,2025-04-02,2025-04,1500.0,1500.0,0,0,0
2025-04_芸82169_2_14,芸82169,芸82169,2025-04-02,2025-04,1480.0,1480.0,0,0,0
2025-04_勳11486_2_15,勳11486,勳11486,2025-04-02,2025-04,1270.0,1270.0,0,0,0
2025-04_家66121_2_16,家66121,家66121,2025-04-02,2025-04,1250.0,1250.0,0,0,0
2025-04_安20936_2_17,安20936,安20936,2025-04-02,2025-04,1220.0,1220.0,0,0,0
2025-04_榮17126_2_18,榮17126,榮17126,2025-04-02,2025-04,1190.0,1190.0,0,0,0
2025-04_弘68935_2_19,弘68935,弘68935,2025-04-02,2025-04,1090.0,1090.0,0,0,0
2025-04_益08378_2_20,益08378,益08378,2025-04-02,2025-04,1060.0,1060.0,0,0,0
2025-04_伶94139_2_21,伶94139,伶94139,2025-04-02,2025-04,1010.0,1010.0,0,0,0
2025-04_聖11763_2_22,聖11763,聖11763,2025-04-02,2025-04,1000.0,1000.0,0,0,0
2025-04_凱84338_2_23,凱84338,凱84338,2025-04-02,2025-04,1000.0,1000.0,0,0,0
2025-04_存62511_2_24,存62511,存62511,2025-04-02,2025-04,880.0,880.0,0,0,0
2025-04_傑23883_2_25,傑23883,傑23883,2025-04-02,2025-04,870.0,870.0,0,0,0
2025-04_宣74217_2_26,宣74217,宣74217,2025-04-02,2025-04,840.0,840.0,0,0,0
2025-04_瑩60666_2_27,瑩60666,瑩60666,2025-04-02,2025-04,780.0,780.0,0,0,0
2025-04_緯39201_2_28,緯39201,緯39201,2025-04-02,2025-04,740.0,740.0,0,0,0
2025-04_珀26821_2_29,珀26821,珀26821,2025-04-02,2025-04,700.0,700.0,0,0,0
2025-04_凌44746_2_30,凌44746,凌44746,2025-04-02,2025-04,690.0,690.0,0,0,0
2025-04_富31837_2_31,富31837,富31837,2025-04-02,2025-04,660.0,660.0,0,0,0
2025-04_軒64007_2_32,軒64007,軒64007,2025-04-02,2025-04,640.0,640.0,0,0,0
2025-04_蓉73052_2_33,蓉73052,蓉73052,2025-04-02,2025-04,560.0,560.0,0,0,0
2025-04_菱05459_2_34,菱05459,菱05459,2025-04-02,2025-04,560.0,560.0,0,0,0
2025-04_玟95271_2_35,玟95271,玟95271,2025-04-02,2025-04,500.0,500.0,0,0,0
2025-04_莉85335_2_36,莉85335,莉85335,2025-04-02,2025-04,450.0,450.0,0,0,0
2025-04_惠88961_2_37,惠88961,惠88961,2025-04-02,2025-04,420.0,420.0,0,0,0
